,Main_Mass_Flow,Additive_1_Ratio,Additive_2_Ratio,Additive_3_Ratio,Additive_4_Ratio,Additive_5_Ratio,Additive_6_Ratio,Flow_Gas_Ratio,T_Zone_1,T_Zone_2,T_Zone_3,T_Zone_4,T_Zone_5,T_Zone_6,T_Zone_7,T_Zone_8,T_Zone_9,T_Zone_10,Blending,Quality,T_Increase_1,T_Increase_2,T_Increase_3,T_Increase_4,T_Increase_5,T_Increase_6,T_Increase_7,T_Increase_8,T_Increase_9
788,20054.341796875,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,2.99442005157471,197.9798583984375,188.414306640625,187.704452514648,174.864105224609,174.837310791016,178.997253417969,173.243942260742,178.924530029297,180.38648986816398,168.18640136718798,28.0,44.95,0,0,0,0,1,0,1,1,0
789,20047.83984375,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,2.9985902309417702,197.9798583984375,188.315582275391,188.215866088867,175.065322875977,175.46984863281202,179.24977111816398,173.307968139648,179.661178588867,181.183441162109,168.086288452148,28.0,42.425,0,0,0,1,1,0,1,1,0
790,20036.548828125,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,2.99567413330078,197.9798583984375,188.297393798828,188.225158691406,174.620697021484,174.073516845703,178.36473083496102,172.159042358398,178.42213439941398,180.044464111328,167.907287597656,28.0,39.9,0,0,0,0,1,0,1,1,0
791,20046.9609375,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,2.97448992729187,197.9798583984375,188.383728027344,188.146194458008,174.309219360352,174.297637939453,178.771942138672,173.30714416503898,179.273330688477,181.083312988281,168.450271606445,28.0,37.375,0,0,0,0,1,0,1,1,0
792,20029.8984375,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,2.9973974227905296,197.9798583984375,188.39598083496102,187.96360778808602,174.54246520996102,173.789169311523,178.150848388672,171.945663452148,178.82521057128898,180.801605224609,168.124847412109,28.0,34.85,0,0,0,0,1,0,1,1,0
793,20031.087890625,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,2.9858016967773398,197.9798583984375,188.536544799805,187.842529296875,174.451568603516,173.761810302734,178.82322692871102,172.61622619628898,179.544021606445,181.27868652343798,168.054763793945,28.0,38.015,0,0,0,0,1,0,1,1,0
794,20043.021484375,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,2.99713897705078,197.9798583984375,188.10705566406202,187.574432373047,173.794006347656,174.12744140625,178.427825927734,172.431610107422,178.619812011719,180.694381713867,168.068862915039,28.0,41.18,0,0,0,1,1,0,1,1,0
795,20045.236328125,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,2.9975438117980997,197.9798583984375,188.386993408203,187.581848144531,173.700973510742,173.252822875977,177.284774780273,171.633544921875,178.2275390625,180.428024291992,167.233154296875,28.0,44.345,0,0,0,0,1,0,1,1,0
796,20030.759765625,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,2.9956429004669203,197.9798583984375,188.519348144531,187.994430541992,174.455902099609,174.33934020996102,178.679550170898,172.493194580078,178.934188842773,180.62951660156202,168.07470703125,28.0,47.51,0,0,0,0,1,0,1,1,0
797,20060.19140625,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,2.98413300514221,197.9798583984375,188.316055297852,187.180465698242,174.430801391602,174.369583129883,178.792144775391,172.805358886719,178.87805175781202,180.468215942383,167.87667846679702,28.0,46.405,0,0,0,0,1,0,1,1,0
798,20030.896484375,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,3.0104749202728303,197.9798583984375,188.203750610352,187.358932495117,173.618682861328,174.02229309082,178.70359802246102,171.913223266602,178.22473144531202,179.902282714844,167.610244750977,28.0,45.3,0,0,0,1,1,0,1,1,0
799,20074.78125,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,3.00048327445984,197.9798583984375,188.279861450195,188.484313964844,173.451461791992,173.33723449707,177.349075317383,171.377365112305,178.09425354003898,179.984664916992,167.030410766602,28.0,44.195,0,1,0,0,1,0,1,1,0
800,20079.03515625,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,3.0029506683349596,197.9798583984375,188.350250244141,189.120010375977,173.15592956543,172.936172485352,177.161727905273,171.48312377929702,178.218643188477,179.91276550293,167.685745239258,28.0,43.09,0,1,0,0,1,0,1,1,0
801,20049.6796875,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,3.01158833503723,197.9798583984375,188.43928527832,188.86584472656202,171.96629333496102,173.037002563477,177.330276489258,171.664260864258,177.947845458984,179.631256103516,166.072708129883,28.0,43.7325,0,1,0,1,1,0,1,1,0
802,20032.31640625,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,3.00172066688538,197.9798583984375,188.268585205078,188.344573974609,172.70361328125,171.89245605468798,176.75695800781202,170.276031494141,176.744567871094,178.65869140625,165.256423950195,28.0,44.375,0,1,0,0,1,0,1,1,0
803,20016.71484375,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,2.9999241828918497,197.9798583984375,188.368072509766,189.22874450683602,172.68385314941398,172.63893127441398,177.599548339844,171.739013671875,177.41975402832,180.012832641602,167.709426879883,28.0,45.0175,0,1,0,0,1,0,1,1,0
804,20010.107421875,0.000694099988322705,0.0700000002980232,0.000875999976415187,0.0018860000418499101,0.0009100000024773179,0.00524999992921948,2.98184061050415,197.9798583984375,188.66404724121102,189.72117614746102,174.549606323242,173.692565917969,178.28596496582,172.201873779297,178.66648864746102,180.60911560058602,168.197814941406,28.0,45.66,0,1,0,0,1,0,1,1,0
