"","Date.Time","Main_Mass_Flow","Additive_1_Ratio","Additive_2_Ratio","Additive_3_Ratio","Additive_4_Ratio","Additive_5_Ratio","Additive_6_Ratio","Flow_Gas_Ratio","Pressure","T_Zone_1","T_Zone_2","T_Zone_3","T_Zone_4","T_Zone_5","T_Zone_6","T_Zone_7","T_Zone_8","T_Zone_9","T_Zone_10","Blending","Quality"
"1251931",2017-03-28 00:32:00,20052.244140625,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.10205817222595,0,197.54768371582,189.393676757812,195.520797729492,174.226409912109,175.707885742188,178.139663696289,171.079879760742,177.975341796875,180.776580810547,174.562377929688,28,45.99
"1252591",2017-03-28 01:38:00,20052.12890625,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.10857772827148,0,197.087600708008,189.403930664062,195.991973876953,174.476669311523,176.472702026367,178.973342895508,172.445831298828,178.84602355957,181.309463500977,174.996734619141,28,46.2666666666667
"1253261",2017-03-28 02:45:00,20043.83984375,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.09531831741333,0,197.389373779297,189.762496948242,196.105895996094,174.67236328125,176.474884033203,179.462295532227,172.527359008789,178.922775268555,181.114501953125,174.513122558594,28,46.5433333333333
"1253911",2017-03-28 03:50:00,20052.45703125,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.08688616752625,0,197.134475708008,189.37646484375,195.760803222656,173.913970947266,175.067810058594,177.438720703125,170.430389404297,177.489013671875,180.211975097656,172.058227539062,28,46.82
"1254551",2017-03-28 04:54:00,20040.98046875,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.09545373916626,0,197.264251708984,189.286529541016,195.83366394043,174.143661499023,176.0927734375,178.360473632812,171.457153320312,177.854248046875,180.87043762207,171.911972045898,28,46.565
"1255181",2017-03-28 05:57:00,20073.328125,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.11704993247986,0,197.193252563477,189.287673950195,195.817672729492,173.755447387695,174.740478515625,177.197158813477,170.031448364258,177.575531005859,180.013320922852,171.475509643555,28,46.31
"1255811",2017-03-28 07:00:00,20060.681640625,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.10150074958801,0,197.116973876953,189.341201782227,195.588439941406,173.929779052734,175.809234619141,178.447982788086,171.716934204102,178.359893798828,181.150665283203,171.318023681641,28,46.055
"1256451",2017-03-28 08:04:00,20060.333984375,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.10352110862732,0,197.345245361328,189.434188842773,196.548278808594,174.507522583008,176.912963867188,179.767608642578,172.263641357422,179.329971313477,181.250427246094,172.81169128418,28,45.8
"1257101",2017-03-28 09:09:00,20046.794921875,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.09733128547668,0,197.272796630859,189.738159179688,196.574798583984,174.46337890625,177.063293457031,179.087661743164,172.404251098633,178.910064697266,181.085494995117,169.71598815918,28,45.2575
"1257771",2017-03-28 10:16:00,20015.70703125,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.10683488845825,0,197.061264038086,190.006530761719,196.622680664062,174.483947753906,176.468490600586,179.119094848633,171.528778076172,178.556304931641,180.357025146484,169.658462524414,28,44.715
"1258481",2017-03-28 11:27:00,20061.173828125,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.09331202507019,0,197.046264648438,190.021743774414,196.864852905273,174.647964477539,177.285614013672,179.962768554688,172.928924560547,179.607849121094,181.49382019043,169.883087158203,28,44.1725
"1259181",2017-03-28 12:37:00,20067.591796875,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.11355018615723,0,196.83952331543,190.291259765625,198.40283203125,175.194580078125,177.204010009766,176.418243408203,168.260894775391,174.80485534668,177.081527709961,167.699005126953,28,43.63
"1259771",2017-03-28 13:36:00,20836.208984375,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.10521388053894,0,197.23063659668,189.723358154297,195.887252807617,173.94807434082,174.313354492188,175.991638183594,168.280212402344,176.001678466797,178.655380249023,167.753280639648,28,44.145
"1260341",2017-03-28 14:33:00,20814.587890625,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.08885145187378,0,197.100433349609,190.226669311523,196.888381958008,174.726715087891,176.262832641602,178.556045532227,171.133392333984,177.865158081055,179.650436401367,169.025924682617,28,44.66
"1260891",2017-03-28 15:28:00,20826.8359375,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.10435080528259,0,197.429336547852,189.397079467773,195.981399536133,173.891357421875,175.228408813477,176.455902099609,168.653671264648,175.694427490234,177.930847167969,168.637680053711,28,45.175
"1261421",2017-03-28 16:21:00,20815.359375,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.10618329048157,0,197.228988647461,189.554412841797,195.836486816406,173.957214355469,175.008346557617,177.017669677734,169.737457275391,176.520736694336,178.950210571289,168.515106201172,28,45.69
"1262021",2017-03-28 17:21:00,20847.921875,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.08017492294312,0,197.523208618164,190.133529663086,196.115600585938,173.817459106445,175.304397583008,178.126205444336,170.340911865234,177.506820678711,179.676086425781,169.237854003906,28,45.9875
"1262451",2017-03-28 18:04:00,20824.544921875,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.11475563049316,0,197.213272094727,190.17350769043,196.149505615234,174.009429931641,175.254470825195,177.664810180664,169.370620727539,176.516494750977,178.959518432617,168.30403137207,28,46.285
"1262961",2017-03-28 18:55:00,20842.986328125,0.000694099988322705,0.0642528757452965,0.000875999976415187,0.0020000000949949,0.000970799999777228,0.00524999992921948,3.09030055999756,0,196.912826538086,189.738265991211,196.387069702148,173.698944091797,175.307907104492,177.403167724609,168.690887451172,175.621490478516,177.782943725586,168.016754150391,0,46.5825
